data_pozyskania,zestawienie_zrodel_ciepla,liczba_budynkow,udzial_procentowy
2026-04-13,BUDYNKI WYŁĄCZNIE ZE ŹRÓDŁAMI CIEPŁA NA PALIWA STAŁE,3570826,56.8
2026-04-13,BUDYNKI WYŁĄCZNIE ZE ŹRÓDŁAMI CIEPŁA NISKOEMISYJNYMI / BEZEMISYJNYMI,1576711,25.08
2026-04-13,BUDYNKI ZE ŹRÓDŁAMI NA PALIWA STAŁE ORAZ NISKOEMISYJNYMI / BEZEMISYJNYMI,1054533,16.77
2026-04-13,DANE DO WERYFIKACJI,84841,1.35
2026-04-13,Dane do weryfikacji,84841,1.35
2026-04-13,kocioł automatyczny kl. 5 lub ekoprojekt,459782,7.31
2026-04-13,kocioł gazowy,1200504,19.1
2026-04-13,kocioł kl. 3 lub kl. 4,779681,12.4
2026-04-13,kocioł olejowy,32684,0.52
2026-04-13,kocioł pozaklasowy,1135921,18.07
2026-04-13,kocioł zasypowy kl. 5 lub ekoprojekt,143463,2.28
2026-04-13,miejska sieć ciepłownicza,40021,0.64
2026-04-13,mix źródeł bezemisyjnych,2418,0.04
2026-04-13,mix źródeł bezemisyjnych + źródeł niskoemisyjnych,24502,0.39
2026-04-13,mix źródeł na paliwa stałe 1 (kocioł pozaklasowy + ogrzewacz),310034,4.93
2026-04-13,mix źródeł na paliwa stałe 2 (w tym kocioł kl. 5 lub ekoprojekt),84272,1.34
2026-04-13,mix źródeł na paliwa stałe 3 (pozostałe przypadki),112362,1.79
2026-04-13,mix źródeł niskoemisyjnych,980,0.02
2026-04-13,ogrzewacz na paliwo stałe,545311,8.67
2026-04-13,ogrzewanie elektryczne,57768,0.92
2026-04-13,pompa ciepła,217834,3.46
2026-04-13,źródła c.o. niskoemisyjne lub bezemisyjne + kocioł kl. 5 lub ekoprojekt,32958,0.52
2026-04-13,źródła c.o. niskoemisyjne lub bezemisyjne + kocioł poniżej klasy 5,208544,3.32
2026-04-13,źródła c.o. niskoemisyjne lub bezemisyjne + mix źródeł na paliwa stałe,66210,1.05
2026-04-13,źródła c.o. niskoemisyjne lub bezemisyjne + ogrzewacz na paliwa stałe,746821,11.88
2026-04-15,BUDYNKI WYŁĄCZNIE ZE ŹRÓDŁAMI CIEPŁA NA PALIWA STAŁE,3570684,56.79
2026-04-15,BUDYNKI WYŁĄCZNIE ZE ŹRÓDŁAMI CIEPŁA NISKOEMISYJNYMI / BEZEMISYJNYMI,1577146,25.08
2026-04-15,BUDYNKI ZE ŹRÓDŁAMI NA PALIWA STAŁE ORAZ NISKOEMISYJNYMI / BEZEMISYJNYMI,1054864,16.78
2026-04-15,DANE DO WERYFIKACJI,84929,1.35
2026-04-15,Dane do weryfikacji,84929,1.35
2026-04-15,kocioł automatyczny kl. 5 lub ekoprojekt,459942,7.32
2026-04-15,kocioł gazowy,1200784,19.1
2026-04-15,kocioł kl. 3 lub kl. 4,779561,12.4
2026-04-15,kocioł olejowy,32682,0.52
2026-04-15,kocioł pozaklasowy,1135718,18.06
2026-04-15,kocioł zasypowy kl. 5 lub ekoprojekt,143508,2.28
2026-04-15,miejska sieć ciepłownicza,40021,0.64
2026-04-15,mix źródeł bezemisyjnych,2418,0.04
2026-04-15,mix źródeł bezemisyjnych + źródeł niskoemisyjnych,24519,0.39
2026-04-15,mix źródeł na paliwa stałe 1 (kocioł pozaklasowy + ogrzewacz),309970,4.93
2026-04-15,mix źródeł na paliwa stałe 2 (w tym kocioł kl. 5 lub ekoprojekt),84293,1.34
2026-04-15,mix źródeł na paliwa stałe 3 (pozostałe przypadki),112349,1.79
2026-04-15,mix źródeł niskoemisyjnych,981,0.02
2026-04-15,ogrzewacz na paliwo stałe,545343,8.67
2026-04-15,ogrzewanie elektryczne,57779,0.92
2026-04-15,pompa ciepła,217962,3.47
2026-04-15,źródła c.o. niskoemisyjne lub bezemisyjne + kocioł kl. 5 lub ekoprojekt,32984,0.52
2026-04-15,źródła c.o. niskoemisyjne lub bezemisyjne + kocioł poniżej klasy 5,208536,3.32
2026-04-15,źródła c.o. niskoemisyjne lub bezemisyjne + mix źródeł na paliwa stałe,66216,1.05
2026-04-15,źródła c.o. niskoemisyjne lub bezemisyjne + ogrzewacz na paliwa stałe,747128,11.88
2026-04-16,BUDYNKI WYŁĄCZNIE ZE ŹRÓDŁAMI CIEPŁA NA PALIWA STAŁE,3570640,56.79
2026-04-16,BUDYNKI WYŁĄCZNIE ZE ŹRÓDŁAMI CIEPŁA NISKOEMISYJNYMI / BEZEMISYJNYMI,1577345,25.09
2026-04-16,BUDYNKI ZE ŹRÓDŁAMI NA PALIWA STAŁE ORAZ NISKOEMISYJNYMI / BEZEMISYJNYMI,1054974,16.78
2026-04-16,DANE DO WERYFIKACJI,84980,1.35
2026-04-16,Dane do weryfikacji,84980,1.35
2026-04-16,kocioł automatyczny kl. 5 lub ekoprojekt,460002,7.32
2026-04-16,kocioł gazowy,1200909,19.1
2026-04-16,kocioł kl. 3 lub kl. 4,779518,12.4
2026-04-16,kocioł olejowy,32682,0.52
2026-04-16,kocioł pozaklasowy,1135648,18.06
2026-04-16,kocioł zasypowy kl. 5 lub ekoprojekt,143538,2.28
2026-04-16,miejska sieć ciepłownicza,40021,0.64
2026-04-16,mix źródeł bezemisyjnych,2417,0.04
2026-04-16,mix źródeł bezemisyjnych + źródeł niskoemisyjnych,24524,0.39
2026-04-16,mix źródeł na paliwa stałe 1 (kocioł pozaklasowy + ogrzewacz),309948,4.93
2026-04-16,mix źródeł na paliwa stałe 2 (w tym kocioł kl. 5 lub ekoprojekt),84302,1.34
2026-04-16,mix źródeł na paliwa stałe 3 (pozostałe przypadki),112343,1.79
2026-04-16,mix źródeł niskoemisyjnych,981,0.02
2026-04-16,ogrzewacz na paliwo stałe,545341,8.67
2026-04-16,ogrzewanie elektryczne,57786,0.92
2026-04-16,pompa ciepła,218025,3.47
2026-04-16,źródła c.o. niskoemisyjne lub bezemisyjne + kocioł kl. 5 lub ekoprojekt,32993,0.52
2026-04-16,źródła c.o. niskoemisyjne lub bezemisyjne + kocioł poniżej klasy 5,208527,3.32
2026-04-16,źródła c.o. niskoemisyjne lub bezemisyjne + mix źródeł na paliwa stałe,66222,1.05
2026-04-16,źródła c.o. niskoemisyjne lub bezemisyjne + ogrzewacz na paliwa stałe,747232,11.88
2026-04-19,BUDYNKI WYŁĄCZNIE ZE ŹRÓDŁAMI CIEPŁA NA PALIWA STAŁE,3570481,56.78
2026-04-19,BUDYNKI WYŁĄCZNIE ZE ŹRÓDŁAMI CIEPŁA NISKOEMISYJNYMI / BEZEMISYJNYMI,1577764,25.09
2026-04-19,BUDYNKI ZE ŹRÓDŁAMI NA PALIWA STAŁE ORAZ NISKOEMISYJNYMI / BEZEMISYJNYMI,1055279,16.78
2026-04-19,DANE DO WERYFIKACJI,85073,1.35
2026-04-19,Dane do weryfikacji,85073,1.35
2026-04-19,kocioł automatyczny kl. 5 lub ekoprojekt,460159,7.32
2026-04-19,kocioł gazowy,1201167,19.1
2026-04-19,kocioł kl. 3 lub kl. 4,779397,12.39
2026-04-19,kocioł olejowy,32675,0.52
2026-04-19,kocioł pozaklasowy,1135440,18.06
2026-04-19,kocioł zasypowy kl. 5 lub ekoprojekt,143583,2.28
2026-04-19,miejska sieć ciepłownicza,40023,0.64
2026-04-19,mix źródeł bezemisyjnych,2416,0.04
2026-04-19,mix źródeł bezemisyjnych + źródeł niskoemisyjnych,24541,0.39
2026-04-19,mix źródeł na paliwa stałe 1 (kocioł pozaklasowy + ogrzewacz),309888,4.93
2026-04-19,mix źródeł na paliwa stałe 2 (w tym kocioł kl. 5 lub ekoprojekt),84330,1.34
2026-04-19,mix źródeł na paliwa stałe 3 (pozostałe przypadki),112324,1.79
2026-04-19,mix źródeł niskoemisyjnych,981,0.02
2026-04-19,ogrzewacz na paliwo stałe,545360,8.67
2026-04-19,ogrzewanie elektryczne,57806,0.92
2026-04-19,pompa ciepła,218155,3.47
2026-04-19,źródła c.o. niskoemisyjne lub bezemisyjne + kocioł kl. 5 lub ekoprojekt,33022,0.53
2026-04-19,źródła c.o. niskoemisyjne lub bezemisyjne + kocioł poniżej klasy 5,208513,3.32
2026-04-19,źródła c.o. niskoemisyjne lub bezemisyjne + mix źródeł na paliwa stałe,66219,1.05
2026-04-19,źródła c.o. niskoemisyjne lub bezemisyjne + ogrzewacz na paliwa stałe,747525,11.89
